,Customer Number,Campaign Period Sales,Historical Sales Volume,Date of First Purchase,Number of Prior Year Transactions,Do Not Direct Mail Solicit,Do Not Email,Do Not Telemarket,Repurchase Method,Last Transaction Channel,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies,Number of Employees,Language,Service Level,Date of Last Transaction,Number of Transactions,Email Available,Buy,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group
1295,3194887,0.0,1753890.9714285717,2010-01-08,41,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,6-10,Unknown,Premier,2010-05-22,41,True,0,4096,3962,Short-term,Unknown
1297,3195897,0.0,405529.6000000001,1988-07-15,21,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,6-10,English,Standard,2015-08-23,21,True,0,11943,2043,Mid-term,English
1298,3196611,256.247619047619,211404.28571428568,1978-02-01,15,False,False,False,NOTICE,BRANCH (PHONE),N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-09-02,15,True,1,15760,2763,Long-term,English
1299,3199379,0.0,269199.88952380954,1996-06-15,17,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-05-29,17,True,0,9051,3224,Mid-term,English
1300,3199707,0.0,728840.0,1987-03-01,21,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2011-07-13,21,False,0,12445,3545,Mid-term,English
1302,3205487,450.1961904761905,688800.1714285715,1994-07-15,17,False,True,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2011-11-27,17,True,1,9752,3408,Mid-term,English
1303,3206527,0.0,1600882.4832,1990-08-15,19,False,False,False,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,N,N,Y,11-50,English,Standard,2008-11-13,19,True,0,11182,4517,Mid-term,English
1305,3218193,0.0,71174.40000000001,1996-04-15,22,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-05-29,22,True,0,9112,2859,Mid-term,English
1306,3220028,0.0,135421.86666666667,1983-11-01,20,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2011-05-26,20,True,0,13661,3593,Mid-term,English
1308,3225720,0.0,556981.3333333334,2006-04-14,16,False,False,False,NOTICE,WEB,N,N,N,N,N,N,Y,N,Y,51-100,English,Standard,2015-02-25,16,True,0,5461,2222,Short-term,English
1311,3235540,0.0,416642.8,1998-10-08,17,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2008-11-19,17,False,0,8206,4511,Mid-term,English
1312,3235945,0.0,46448.64,1983-11-01,18,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2015-04-04,18,False,0,13661,2184,Mid-term,English
1313,3237179,0.0,269731.4285714285,1991-07-15,20,False,False,False,NOTICE,MAIL,Y,N,N,N,N,N,N,N,Y,6-10,English,Standard,2014-08-18,20,True,0,10848,2413,Mid-term,English
1314,3239490,0.0,1495671.4666666668,1997-07-01,22,False,False,False,NOTICE,WEB,N,Y,N,N,N,N,Y,N,Y,11-50,English,Standard,2011-01-06,22,True,0,8670,3733,Mid-term,English
1315,3244223,0.0,451618.97142857144,1997-03-15,18,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2012-08-15,18,True,0,8778,3146,Mid-term,English
1316,3246959,0.0,111078.00000000001,1993-01-15,7,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-01-14,7,True,0,10298,2264,Mid-term,English
1317,3256817,331.328,755427.84,1994-08-01,19,False,True,False,NOTICE,MAIL,N,Y,N,N,N,N,N,N,Y,11-50,English,Standard,2014-10-30,19,True,1,9735,2340,Mid-term,English
1318,3260894,0.0,1722879.9466666668,2005-02-10,14,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,101-500,English,Standard,2014-02-15,14,True,0,5889,2597,Short-term,English
1319,3261604,0.0,624720.0,1990-03-01,21,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-10-22,21,True,0,11349,2348,Mid-term,English
1320,3265537,0.0,160349.14285714287,1996-01-15,19,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,Y,Y,6-10,English,Standard,2013-03-07,19,True,0,9203,2942,Mid-term,English
1321,3266780,0.0,490488.8000000001,1992-10-01,23,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-09-01,23,False,0,10404,2034,Mid-term,English
1322,3270732,0.0,456674.4000000001,1992-02-01,6,False,True,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,51-100,English,Standard,2013-03-25,6,True,0,10647,2924,Mid-term,English
1323,3271102,497.2533333333334,644440.3200000001,1994-02-15,18,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2011-09-24,18,True,1,9902,3472,Mid-term,English
1324,3271647,0.0,723616.4571428573,1989-11-01,18,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-09-21,18,True,0,11469,3109,Mid-term,English
1325,3271983,0.0,56754.28571428572,1984-07-01,12,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2014-01-22,12,True,0,13418,2621,Mid-term,English
1326,3274305,0.0,227270.0,1990-03-15,15,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2010-03-16,15,True,0,11335,4029,Mid-term,English
1327,3274671,322.78133333333335,583588.6506666667,1979-03-15,16,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2015-03-22,16,True,1,15353,2197,Long-term,English
1329,3282750,237.98666666666668,569740.0800000001,1972-01-01,19,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2012-01-11,19,True,1,17983,3363,Long-term,English
1330,3290696,1032.252,130063.752,1992-03-15,15,False,False,False,AUTO RENEW,AUTO RENEW,N,Y,N,Y,N,Y,N,N,Y,51-100,English,Premier,2011-04-13,3,True,1,10604,3636,Mid-term,English
1331,3292558,352.4666666666667,473010.2666666667,1994-02-15,22,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2014-09-30,22,True,1,9902,2370,Mid-term,English
1332,3294748,0.0,72029.56190476191,1991-10-01,4,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-12-01,4,True,0,10770,1943,Mid-term,English
1334,3295743,937.5166666666668,1300335.616666667,2013-04-25,19,False,False,False,AUTO RENEW,MAIL,N,N,N,N,N,N,Y,N,Y,51-100,Portuguese,Standard,2010-08-12,19,False,1,2893,3880,Short-term,European
1335,3297494,0.0,340618.97142857144,1996-02-01,19,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2014-08-11,19,True,0,9186,2420,Mid-term,English
1337,3298529,0.0,182837.03999999998,1998-02-15,17,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2015-01-09,17,True,0,8441,2269,Mid-term,English
1338,3300767,211.88571428571427,359358.1714285714,1993-02-15,16,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2014-07-17,16,False,1,10267,2445,Mid-term,English
1339,3300801,0.0,633036.3,1990-10-15,19,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Standard,2015-07-04,19,False,0,11121,2093,Mid-term,English
1340,3301108,0.0,719506.2857142857,1996-09-15,20,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-10-18,20,True,0,8959,2717,Mid-term,English
1341,3302979,355.72,328685.28,1974-07-15,11,True,True,True,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2008-09-23,11,True,1,17057,4568,Long-term,English
1342,3310051,0.0,129463.20000000003,2003-04-09,21,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2011-12-24,21,True,0,6562,3381,Mid-term,English
1343,3311275,448.57142857142856,503297.1428571428,1994-03-01,11,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2009-11-24,11,True,1,9888,4141,Mid-term,English
1344,3312026,0.0,600684.5866666668,2011-02-01,20,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2012-06-21,20,True,0,3707,3201,Short-term,English
1345,3312602,601.2333333333333,225462.50000000003,2006-06-02,5,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,N,11-50,English,Standard,2011-12-16,5,True,1,5412,3389,Short-term,English
1346,3312805,386.672,773730.672,1993-11-15,23,False,False,False,AUTO RENEW,PHONE,N,N,N,N,N,N,N,Y,Y,11-50,English,Premier,2014-07-13,23,True,1,9994,2449,Mid-term,English
1348,3313990,178.9714285714286,447428.5714285714,1976-05-01,20,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-03-10,20,True,1,16401,2209,Long-term,English
1349,3315759,0.0,601813.5500000002,1996-03-01,15,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,51-100,English,Standard,2015-05-05,15,True,0,9157,2153,Mid-term,English
1350,3316574,198.62857142857143,99314.28571428571,1972-05-15,20,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2014-10-20,20,True,1,17848,2350,Long-term,English
1351,3317619,215.82857142857142,264174.1714285714,2002-11-18,17,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-06-19,17,False,1,6704,2473,Mid-term,English
1352,3318422,0.0,245112.68571428576,1973-01-01,12,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-02-17,12,True,0,17617,2960,Long-term,English
1353,3319026,0.0,177058.28571428577,1987-03-15,9,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-05-03,9,True,0,12431,2885,Mid-term,English
1354,3321101,0.0,627198.0000000001,1996-12-15,22,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,Y,N,Y,6-10,English,Standard,2014-08-08,22,True,0,8868,2423,Mid-term,English
1356,3325154,176.61333333333334,333445.9733333333,1975-05-01,16,True,True,True,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2013-09-30,16,True,1,16767,2735,Long-term,English
1357,3326255,0.0,1239034.6666666667,1997-08-01,20,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2012-09-16,20,False,0,8639,3114,Mid-term,English
1361,3330756,246.57904761904766,65590.02666666667,1994-02-01,19,False,True,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-12-23,19,True,1,9916,2286,Mid-term,English
1363,3334206,0.0,955071.0000000002,2014-04-18,15,False,False,False,AUTO RENEW,PHONE,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2013-08-12,15,False,0,2535,2784,Short-term,English
1364,3338217,0.0,425962.6666666667,1996-03-01,10,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,500+,English,Standard,2011-03-28,10,False,0,9157,3652,Mid-term,English
1365,3343571,0.0,1154288.0,2005-12-07,19,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2007-05-07,19,True,0,5589,5073,Short-term,English
1366,3344631,0.0,537785.76,1991-04-15,18,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2011-11-01,18,True,0,10939,3434,Mid-term,English
1369,3347769,0.0,437943.14666666667,2002-03-07,11,True,True,True,NOTICE,BRANCH (POS),N,N,N,N,N,N,Y,N,N,11-50,English,Standard,2014-03-17,11,True,0,6960,2567,Mid-term,English
1371,3357551,221.0857142857143,187038.5142857143,1986-05-15,18,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,Unknown,Premier,2014-05-12,18,True,1,12735,2511,Mid-term,Unknown
1372,3357964,169.64133333333334,154712.896,1982-07-15,16,False,False,False,AUTO RENEW,PHONE,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2015-01-16,16,False,1,14135,2262,Mid-term,English
1373,3363565,0.0,375427.07999999996,2011-07-21,21,True,True,True,NOTICE,BRANCH (POS),N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2009-11-28,21,False,0,3537,4137,Short-term,English
1374,3367456,0.0,259844.30476190476,1996-06-01,22,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-06-08,22,False,0,9065,3214,Mid-term,English
1375,3369224,0.0,468343.20000000007,1983-08-01,17,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,Unknown,Standard,2014-09-27,17,True,0,13753,2373,Mid-term,Unknown
1377,3370687,0.0,467656.8,1997-09-15,8,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2013-02-05,8,True,0,8594,2972,Mid-term,English
1378,3373713,238.5,231822.0,1964-01-15,18,False,False,False,NOTICE,BRANCH (PHONE),N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2016-01-10,18,True,1,20891,1903,Long-term,English
1379,3377366,289.7333333333333,59105.59999999999,1994-10-15,17,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2014-08-21,17,True,1,9660,2410,Mid-term,English
1380,3380054,0.0,152097.92,1997-10-15,6,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,1-5,English,Standard,2011-08-31,6,True,0,8564,3496,Mid-term,English
1381,3382836,0.0,1732037.58,2006-03-06,14,False,False,False,AUTO RENEW,BRANCH (PHONE),N,N,N,N,N,N,Y,N,Y,51-100,English,Premier,2005-07-11,14,True,0,5500,5738,Short-term,English
1382,3383126,0.0,521248.0000000001,1996-02-15,20,False,False,False,NOTICE,PHONE,N,Y,N,N,N,N,N,N,Y,11-50,Italian,Premier,2010-01-01,20,True,0,9172,4103,Mid-term,European
1384,3383961,0.0,1782841.06,2013-03-25,21,False,False,False,AUTO RENEW,PHONE,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2011-12-25,21,True,0,2924,3380,Short-term,English
1385,3384121,0.0,197506.6666666667,1994-12-25,20,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2013-03-01,20,True,0,9589,2948,Mid-term,English
1386,3385079,0.0,287599.2,1991-10-15,17,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2012-11-16,17,True,0,10756,3053,Mid-term,English
1387,3385431,0.0,177956.91428571427,1996-02-15,18,False,False,False,NOTICE,BRANCH (PHONE),N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2010-04-07,18,True,0,9172,4007,Mid-term,English
1388,3386559,0.0,414779.77142857143,1996-05-01,19,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-07-03,19,True,0,9096,2094,Mid-term,English
1389,3389187,0.0,645760.0000000001,1985-09-01,20,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-06-02,20,True,0,12991,2855,Mid-term,English
1390,3392108,126.78095238095237,321136.1523809523,1974-07-01,17,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2016-03-18,17,True,1,17071,1835,Long-term,English
1391,3392215,0.0,723329.0666666667,1997-07-01,20,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2011-07-24,20,True,0,8670,3534,Mid-term,English
1393,3393886,0.0,580988.5714285714,1990-12-01,15,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-10-29,15,True,0,11074,2706,Mid-term,English
1394,3395439,0.0,65127.68000000001,1995-03-01,6,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2016-08-12,6,True,0,9523,1688,Mid-term,English
1396,3399373,0.0,640341.8,1995-03-01,21,True,True,True,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2009-09-14,21,True,0,9523,4212,Mid-term,English
1397,3401887,0.0,357072.0,1983-02-01,20,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2012-11-17,20,False,0,13934,3052,Mid-term,English
1398,3402499,0.0,1184157.52,1988-06-15,19,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2012-04-19,19,True,0,11973,3264,Mid-term,English
1399,3404576,0.0,267888.0,2012-05-23,20,False,False,False,NOTICE,WEB,N,N,N,N,N,N,Y,N,Y,51-100,English,Standard,2014-07-12,20,False,0,3230,2450,Short-term,English
1402,3410210,0.0,71678.46399999999,1988-03-15,22,False,False,False,AUTO RENEW,BRANCH (POS),N,N,N,N,N,N,N,Y,Y,6-10,English,Premier,2012-11-04,22,True,0,12065,3065,Mid-term,English
1403,3410347,0.0,1934580.3750000002,1996-04-15,15,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,N,51-100,English,Standard,2011-08-21,15,True,0,9112,3506,Mid-term,English
1404,3411073,0.0,192548.57142857142,1984-12-15,15,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-04-26,15,True,0,13251,2892,Mid-term,English
1405,3411244,0.0,519060.03809523815,1995-02-15,22,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-11-27,22,False,0,9537,2312,Mid-term,English
1406,3411345,0.0,9320.666666666666,1986-05-01,4,False,True,False,NOTICE,WEB,Y,N,N,N,N,N,Y,N,N,1-5,Unknown,Premier,2013-06-22,4,True,0,12749,2835,Mid-term,Unknown
1407,3413165,141.22666666666666,287678.72,1981-01-01,21,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2014-09-28,21,True,1,14695,2372,Long-term,English
1408,3413169,0.0,755497.6,2002-07-10,12,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,Y,N,Y,51-100,English,Premier,2011-11-30,12,True,0,6835,3405,Mid-term,English
1409,3416596,0.0,904704.0,1988-04-01,16,False,False,False,NOTICE,BRANCH (PHONE),N,N,N,N,N,N,Y,N,Y,51-100,English,Premier,2011-11-19,16,True,0,12048,3416,Mid-term,English
1410,3416887,0.0,2532054.0,1996-02-15,21,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,101-500,English,Standard,2011-08-02,21,False,0,9172,3525,Mid-term,English
1411,3416991,0.0,27723.416666666668,2013-10-07,1,True,True,True,NOTICE,PHONE,N,N,N,N,N,N,N,N,N,51-100,English,Standard,2014-01-03,1,True,0,2728,2640,Short-term,English
1413,3418085,0.0,425408.0000000001,1974-12-15,21,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-01-09,21,True,0,16904,2634,Long-term,English
1414,3420496,0.0,213940.80000000002,1995-05-15,12,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2015-09-09,12,True,0,9448,2026,Mid-term,English
1415,3420910,448.41333333333336,1341652.6933333334,2011-07-12,22,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,Y,N,N,N,Y,6-10,English,Standard,2011-12-07,22,True,1,3546,3398,Short-term,English
1416,3424004,0.0,685501.8857142859,1992-06-15,18,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2010-02-13,18,True,0,10512,4060,Mid-term,English
1417,3425105,0.0,754161.0285714287,1992-02-01,19,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2012-08-29,19,True,0,10647,3132,Mid-term,English
1418,3426665,0.0,1375328.7600000002,2012-09-12,9,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,101-500,English,Standard,2009-09-02,9,True,0,3118,4224,Short-term,English
1419,3428081,0.0,851828.2666666667,1995-07-01,19,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,101-500,English,Premier,2012-12-26,19,True,0,9401,3013,Mid-term,English
1420,3432139,246.02666666666667,633272.64,1959-04-01,18,True,True,True,NOTICE,BRANCH (POS),N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2013-10-09,18,False,1,22641,2726,Long-term,English
1421,3433889,0.0,171823.08,1995-10-01,11,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2014-12-16,11,False,0,9309,2293,Mid-term,English
1422,3437925,393.624,127927.8,1982-02-15,13,False,False,False,NOTICE,BRANCH (POS),N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2010-10-26,13,True,1,14285,3805,Long-term,English
1425,3444129,0.0,173614.08000000002,1977-02-15,18,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2015-08-30,18,True,0,16111,2036,Long-term,English
1426,3448864,0.0,1184213.3333333335,1997-03-01,20,False,True,False,NOTICE,PHONE,N,N,N,N,Y,N,N,N,Y,51-100,English,Premier,2012-04-25,20,False,0,8792,3258,Mid-term,English
1427,3449088,0.0,221525.33333333334,2017-02-10,20,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-01-06,20,True,0,1506,2272,Short-term,English
1428,3455904,341.8566666666666,499794.4466666666,1977-01-01,17,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2015-10-02,17,True,1,16156,2003,Long-term,English
1429,3464081,414.9485714285715,423247.5428571429,1988-09-01,15,False,False,False,NOTICE,MAIL,N,Y,N,N,N,N,N,N,Y,6-10,English,Standard,2011-11-30,15,False,1,11895,3405,Mid-term,English
1430,3464740,0.0,358613.8666666667,1991-03-01,17,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-11-26,17,False,0,10984,1948,Mid-term,English
1431,3465251,0.0,351941.3333333334,1991-06-01,22,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2014-03-20,22,True,0,10892,2564,Mid-term,English
1432,3467116,88.08800000000001,170714.54400000002,1969-08-01,17,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,Unknown,Premier,2016-10-19,17,True,1,18866,1620,Long-term,Unknown
1433,3468553,0.0,1597237.3333333335,1997-08-01,20,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2010-07-13,20,False,0,8639,3910,Mid-term,English
1435,3475436,304.9714285714286,198536.40000000002,1992-02-15,21,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-09-18,21,True,1,10633,3112,Mid-term,English
1436,3477246,0.0,111905.98095238097,1998-02-01,8,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,N,6-10,Unknown,Standard,2013-09-24,8,True,0,8455,2741,Mid-term,Unknown
1437,3477722,0.0,684648.5066666666,1987-07-01,11,False,False,False,NOTICE,MAIL,Y,N,N,N,N,N,N,N,Y,1-5,English,Standard,2006-10-01,11,True,0,12323,5291,Mid-term,English
1439,3478682,0.0,524304.0000000001,1997-05-01,18,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2013-04-04,18,True,0,8731,2914,Mid-term,English
1441,3481174,0.0,731578.9066666669,2003-12-09,17,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2013-09-18,17,False,0,6318,2747,Short-term,English
1442,3482018,117.05333333333334,32774.933333333334,1980-11-01,14,False,False,False,NOTICE,BRANCH (PHONE),N,N,N,N,N,N,N,N,Y,1-5,Unknown,Premier,2015-06-02,14,True,1,14756,2125,Long-term,Unknown
1443,3482467,115.44000000000001,6002.880000000001,1963-01-01,1,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2015-06-19,1,True,1,21270,2108,Long-term,English
1445,3487105,0.0,1067061.6,1980-08-01,54,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,Unknown,Premier,2014-10-13,54,False,0,14848,2357,Long-term,Unknown
1448,3490288,0.0,765126.7619047619,1996-04-15,23,False,False,False,NOTICE,MAIL,N,N,N,Y,N,N,N,N,Y,6-10,English,Standard,2011-12-21,23,True,0,9112,3384,Mid-term,English
1449,3494900,0.0,432560.00000000006,1993-05-01,20,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2012-08-20,20,True,0,10192,3141,Mid-term,English
1450,3497952,390.96000000000004,656812.8,2014-03-09,21,False,False,False,NOTICE,PHONE,N,Y,N,N,N,N,N,N,Y,51-100,English,Standard,2015-01-17,21,True,1,2575,2261,Short-term,English
1452,3501166,325.4457142857143,121065.80571428571,2004-10-18,6,True,True,True,AUTO RENEW,PHONE,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-10-14,6,True,1,6004,2721,Short-term,English
1453,3501864,0.0,414752.2971428571,1997-05-01,23,False,False,False,AUTO RENEW,AUTO RENEW,Y,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-08-29,23,True,0,8731,2767,Mid-term,English
1454,3502715,0.0,1341791.6666666667,1996-07-01,25,False,False,False,NOTICE,BRANCH (PHONE),N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2006-08-31,25,True,0,9035,5322,Mid-term,English
1455,3503970,0.0,524540.3428571428,1996-05-01,16,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-10-29,16,True,0,9096,2706,Mid-term,English
1456,3505305,0.0,2010361.6,1998-02-15,20,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2011-04-12,20,True,0,8441,3637,Mid-term,English
1457,3505740,0.0,342597.12,2001-04-27,18,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,Y,Y,1-5,English,Premier,2014-05-25,18,True,0,7274,2498,Mid-term,English
1461,3518535,116.84000000000002,213116.16000000003,1993-04-01,19,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2015-06-04,19,False,1,10222,2123,Mid-term,English
1462,3520001,144.3047619047619,159456.76190476192,1975-01-01,17,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-11-13,17,True,1,16887,1961,Long-term,English
1463,3520225,0.0,402078.8571428571,1985-12-25,18,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-03-23,18,True,0,12876,2196,Mid-term,English
1464,3521934,0.0,451313.5714285714,1997-05-01,15,False,False,False,AUTO RENEW,WEB,N,N,N,N,Y,N,Y,N,Y,6-10,English,Premier,2013-05-10,15,True,0,8731,2878,Mid-term,English
